,Date,USD (PM)
2019-10-07,10/7/19,1501.25
2019-10-08,10/8/19,1505.85
2019-10-09,10/9/19,1507.25
2019-10-10,10/10/19,1494.8
2019-10-11,10/11/19,1479.15
2019-10-14,10/14/19,1490.6
2019-10-15,10/15/19,1487.8
2019-10-16,10/16/19,1485.1
2019-10-17,10/17/19,1492.65
2019-10-18,10/18/19,1490.0
2019-10-21,10/21/19,1491.65
2019-10-22,10/22/19,1485.35
2019-10-23,10/23/19,1494.45
2019-10-24,10/24/19,1496.55
2019-10-25,10/25/19,1513.45
2019-10-28,10/28/19,1492.4
2019-10-29,10/29/19,1486.75
2019-10-30,10/30/19,1492.1
2019-10-31,10/31/19,1510.95
2019-11-01,11/1/19,1508.8
2019-11-04,11/4/19,1509.45
2019-11-05,11/5/19,1488.95
2019-11-06,11/6/19,1486.05
2019-11-07,11/7/19,1484.25
2019-11-08,11/8/19,1464.15
2019-11-11,11/11/19,1458.7
2019-11-12,11/12/19,1452.05
2019-11-13,11/13/19,1462.9
2019-11-14,11/14/19,1466.65
2019-11-15,11/15/19,1466.9
2019-11-18,11/18/19,1467.65
2019-11-19,11/19/19,1468.45
2019-11-20,11/20/19,1471.7
2019-11-21,11/21/19,1467.05
2019-11-22,11/22/19,1464.45
2019-11-25,11/25/19,1458.4
2019-11-26,11/26/19,1454.65
2019-11-27,11/27/19,1454.35
2019-11-28,11/28/19,1454.65
2019-11-29,11/29/19,1460.15
2019-12-02,12/2/19,1461.15
2019-12-03,12/3/19,1477.3
2019-12-04,12/4/19,1475.1
2019-12-05,12/5/19,1475.95
2019-12-06,12/6/19,1459.65
2019-12-09,12/9/19,1461.7
2019-12-10,12/10/19,1464.95
2019-12-11,12/11/19,1466.8
2019-12-12,12/12/19,1467.8
2019-12-13,12/13/19,1466.6
2019-12-16,12/16/19,1477.9
2019-12-17,12/17/19,1475.8
2019-12-18,12/18/19,1474.05
2019-12-19,12/19/19,1476.7
2019-12-20,12/20/19,1479.0
2019-12-23,12/23/19,1482.1
2019-12-24,12/24/19,1496.8
2019-12-27,12/27/19,1511.5
2019-12-30,12/30/19,1514.75
2019-12-31,12/31/19,1520.925
2020-01-02,1/2/20,1527.1
2020-01-03,1/3/20,1548.75
2020-01-06,1/6/20,1573.1
2020-01-07,1/7/20,1567.85
2020-01-08,1/8/20,1571.95
2020-01-09,1/9/20,1550.75
2020-01-10,1/10/20,1553.6
2020-01-13,1/13/20,1549.9
2020-01-14,1/14/20,1545.1
2020-01-15,1/15/20,1549.0
2020-01-16,1/16/20,1554.55
2020-01-17,1/17/20,1557.6
2020-01-20,1/20/20,1560.15
2020-01-21,1/21/20,1551.3
2020-01-22,1/22/20,1556.9
2020-01-23,1/23/20,1562.9
2020-01-24,1/24/20,1564.3
2020-01-27,1/27/20,1580.1
2020-01-28,1/28/20,1574.0
2020-01-29,1/29/20,1573.45
2020-01-30,1/30/20,1578.25
2020-01-31,1/31/20,1584.2
2020-02-03,2/3/20,1574.75
2020-02-04,2/4/20,1558.35
2020-02-05,2/5/20,1553.3
2020-02-06,2/6/20,1563.3
2020-02-07,2/7/20,1572.65
2020-02-10,2/10/20,1573.2
2020-02-11,2/11/20,1570.5
2020-02-12,2/12/20,1563.7
2020-02-13,2/13/20,1575.05
2020-02-14,2/14/20,1581.4
2020-02-17,2/17/20,1580.8
2020-02-18,2/18/20,1589.85
2020-02-19,2/19/20,1604.2
2020-02-20,2/20/20,1619.0
2020-02-21,2/21/20,1643.3
2020-02-24,2/24/20,1671.65
2020-02-25,2/25/20,1650.3
2020-02-26,2/26/20,1634.9
2020-02-27,2/27/20,1652.0
2020-02-28,2/28/20,1609.85
2020-03-02,3/2/20,1599.65
2020-03-03,3/3/20,1615.5
2020-03-04,3/4/20,1641.85
2020-03-05,3/5/20,1659.6
2020-03-06,3/6/20,1683.65
2020-03-09,3/9/20,1672.5
2020-03-10,3/10/20,1655.7
2020-03-11,3/11/20,1653.75
2020-03-12,3/12/20,1570.7
2020-03-13,3/13/20,1562.8
2020-03-16,3/16/20,1487.7
2020-03-17,3/17/20,1536.2
2020-03-18,3/18/20,1498.2
2020-03-19,3/19/20,1474.25
2020-03-20,3/20/20,1494.4
2020-03-23,3/23/20,1525.4
2020-03-24,3/24/20,1605.75
2020-03-25,3/25/20,1605.45
2020-03-26,3/26/20,1634.8
2020-03-27,3/27/20,1617.3
2020-03-30,3/30/20,1618.3
2020-03-31,3/31/20,1608.95
2020-04-01,4/1/20,1576.55
2020-04-02,4/2/20,1616.8
2020-04-03,4/3/20,1613.1
2020-04-06,4/6/20,1648.3
2020-04-07,4/7/20,1649.25
2020-04-08,4/8/20,1647.8
2020-04-09,4/9/20,1680.65
2020-04-14,4/14/20,1741.9
2020-04-15,4/15/20,1718.65
2020-04-16,4/16/20,1729.5
2020-04-17,4/17/20,1692.55
2020-04-20,4/20/20,1686.2
2020-04-21,4/21/20,1682.05
2020-04-22,4/22/20,1710.55
2020-04-23,4/23/20,1736.25
2020-04-24,4/24/20,1715.9
2020-04-27,4/27/20,1714.95
2020-04-28,4/28/20,1691.55
2020-04-29,4/29/20,1703.35
2020-04-30,4/30/20,1702.75
2020-05-01,5/1/20,1686.25
2020-05-04,5/4/20,1709.1
2020-05-05,5/5/20,1699.55
2020-05-06,5/6/20,1691.5
2020-05-07,5/7/20,1704.05
2020-05-11,5/11/20,1702.75
2020-05-12,5/12/20,1702.4
2020-05-13,5/13/20,1708.4
2020-05-14,5/14/20,1731.6
2020-05-15,5/15/20,1735.35
2020-05-18,5/18/20,1734.7
2020-05-19,5/19/20,1737.95
2020-05-20,5/20/20,1748.3
2020-05-21,5/21/20,1724.9
2020-05-22,5/22/20,1733.55
2020-05-26,5/26/20,1720.25
2020-05-27,5/27/20,1694.6
2020-05-28,5/28/20,1717.35
2020-05-29,5/29/20,1728.7
2020-06-01,6/1/20,1730.6
2020-06-02,6/2/20,1742.15
2020-06-03,6/3/20,1705.35
2020-06-04,6/4/20,1700.05
2020-06-05,6/5/20,1683.45
2020-06-08,6/8/20,1690.35
2020-06-09,6/9/20,1713.5
2020-06-10,6/10/20,1722.05
2020-06-11,6/11/20,1738.25
2020-06-12,6/12/20,1733.5
2020-06-15,6/15/20,1710.45
2020-06-16,6/16/20,1719.85
2020-06-17,6/17/20,1724.35
2020-06-18,6/18/20,1719.5
2020-06-19,6/19/20,1734.75
2020-06-22,6/22/20,1761.85
2020-06-23,6/23/20,1768.9
2020-06-24,6/24/20,1766.05
2020-06-25,6/25/20,1756.55
2020-06-26,6/26/20,1747.6
2020-06-29,6/29/20,1771.6
2020-06-30,6/30/20,1768.1
2020-07-01,7/1/20,1771.05
2020-07-02,7/2/20,1777.45
2020-07-03,7/3/20,1772.9
2020-07-06,7/6/20,1787.9
2020-07-07,7/7/20,1789.55
2020-07-08,7/8/20,1811.1
2020-07-09,7/9/20,1812.1
2020-07-10,7/10/20,1803.1
2020-07-13,7/13/20,1807.5
2020-07-14,7/14/20,1801.9
2020-07-15,7/15/20,1804.6
2020-07-16,7/16/20,1807.7
2020-07-17,7/17/20,1807.35
2020-07-20,7/20/20,1815.65
2020-07-21,7/21/20,1842.55
2020-07-22,7/22/20,1852.4
2020-07-23,7/23/20,1878.3
2020-07-24,7/24/20,1902.1
2020-07-27,7/27/20,1936.65
2020-07-28,7/28/20,1940.9
2020-07-29,7/29/20,1950.9
2020-07-30,7/30/20,1957.65
2020-07-31,7/31/20,1964.9
2020-08-03,8/3/20,1958.55
2020-08-04,8/4/20,1977.9
2020-08-05,8/5/20,2048.15
2020-08-06,8/6/20,2067.15
2020-08-07,8/7/20,2031.15
2020-08-10,8/10/20,2044.5
2020-08-11,8/11/20,1939.65
2020-08-12,8/12/20,1931.9
2020-08-13,8/13/20,1944.25
2020-08-14,8/14/20,1944.75
2020-08-17,8/17/20,1972.85
2020-08-18,8/18/20,2008.75
2020-08-19,8/19/20,1981.0
2020-08-20,8/20/20,1927.15
2020-08-21,8/21/20,1924.35
2020-08-24,8/24/20,1943.95
2020-08-25,8/25/20,1911.15
2020-08-26,8/26/20,1932.95
2020-08-27,8/27/20,1923.85
2020-08-28,8/28/20,1957.35
2020-09-01,9/1/20,1972.35
2020-09-02,9/2/20,1947.05
2020-09-03,9/3/20,1940.45
2020-09-04,9/4/20,1926.3
2020-09-07,9/7/20,1928.45
2020-09-08,9/8/20,1910.95
2020-09-09,9/9/20,1947.2
2020-09-10,9/10/20,1966.25
2020-09-11,9/11/20,1947.4
2020-09-14,9/14/20,1958.7
2020-09-15,9/15/20,1949.35
2020-09-16,9/16/20,1961.8
2020-09-17,9/17/20,1936.25
2020-09-18,9/18/20,1950.85
2020-09-21,9/21/20,1909.35
2020-09-22,9/22/20,1906.0
2020-09-23,9/23/20,1873.4
2020-09-24,9/24/20,1861.75
2020-09-25,9/25/20,1859.7
2020-09-28,9/28/20,1864.3
2020-09-29,9/29/20,1883.95
2020-09-30,9/30/20,1886.9
2020-10-01,10/1/20,1902.0
2020-10-02,10/2/20,1903.05
2020-10-05,10/5/20,1909.6
2020-10-06,10/6/20,1913.4
2020-10-07,10/7/20,1884.5
2020-10-08,10/8/20,1887.45
2020-10-09,10/9/20,1923.25
2020-10-12,10/12/20,1925.5
2020-10-13,10/13/20,1891.3
2020-10-14,10/14/20,1910.05
2020-10-15,10/15/20,1891.9
2020-10-16,10/16/20,1905.05
2020-10-19,10/19/20,1905.6
2020-10-20,10/20/20,1898.4
2020-10-21,10/21/20,1924.15
2020-10-22,10/22/20,1900.95
2020-10-23,10/23/20,1903.65
2020-10-26,10/26/20,1898.45
2020-10-27,10/27/20,1905.7
2020-10-28,10/28/20,1869.95
2020-10-29,10/29/20,1870.3
2020-10-30,10/30/20,1881.85
2020-11-02,11/2/20,1889.9
2020-11-03,11/3/20,1908.3
2020-11-04,11/4/20,1900.15
2020-11-05,11/5/20,1938.45
2020-11-06,11/6/20,1940.8
2020-11-09,11/9/20,1867.3
2020-11-10,11/10/20,1878.7
2020-11-11,11/11/20,1860.95
2020-11-12,11/12/20,1874.85
2020-11-13,11/13/20,1890.9
2020-11-16,11/16/20,1885.6
2020-11-17,11/17/20,1889.05
2020-11-18,11/18/20,1876.1
2020-11-19,11/19/20,1857.35
2020-11-20,11/20/20,1875.7
2020-11-23,11/23/20,1840.2
2020-11-24,11/24/20,1799.6
2020-11-25,11/25/20,1810.2
2020-11-26,11/26/20,1807.4
2020-11-27,11/27/20,1779.3
2020-11-30,11/30/20,1762.55
2020-12-01,12/1/20,1810.75
2020-12-02,12/2/20,1822.6
2020-12-03,12/3/20,1832.35
2020-12-04,12/4/20,1843.0
2020-12-07,12/7/20,1859.95
2020-12-08,12/8/20,1868.15
2020-12-09,12/9/20,1841.75
2020-12-10,12/10/20,1844.35
2020-12-11,12/11/20,1842.0
2020-12-14,12/14/20,1831.15
2020-12-15,12/15/20,1850.65
2020-12-16,12/16/20,1851.95
2020-12-17,12/17/20,1890.75
2020-12-18,12/18/20,1879.75
2020-12-21,12/21/20,1880.0
2020-12-22,12/22/20,1877.1
2020-12-23,12/23/20,1875.0
2020-12-24,12/24/20,1874.65
2020-12-29,12/29/20,1874.3
2020-12-30,12/30/20,1887.6
2020-12-31,12/31/20,1915.4
2021-01-04,1/4/21,1943.2
2021-01-05,1/5/21,1940.35
2021-01-06,1/6/21,1931.95
2021-01-07,1/7/21,1920.1
2021-01-08,1/8/21,1862.9
2021-01-11,1/11/21,1847.25
2021-01-12,1/12/21,1841.25
2021-01-13,1/13/21,1858.85
2021-01-14,1/14/21,1841.75
2021-01-15,1/15/21,1839.0
2021-01-18,1/18/21,1833.05
2021-01-19,1/19/21,1834.7
2021-01-20,1/20/21,1856.6
2021-01-21,1/21/21,1862.1
2021-01-22,1/22/21,1852.7
2021-01-25,1/25/21,1856.85
2021-01-26,1/26/21,1856.6
2021-01-27,1/27/21,1843.0
2021-01-28,1/28/21,1853.7
2021-01-29,1/29/21,1863.8
2021-02-01,2/1/21,1862.95
2021-02-02,2/2/21,1833.1
2021-02-03,2/3/21,1835.45
2021-02-04,2/4/21,1785.9
2021-02-05,2/5/21,1802.95
2021-02-08,2/8/21,1835.25
2021-02-09,2/9/21,1839.6
2021-02-10,2/10/21,1842.65
2021-02-11,2/11/21,1840.1
2021-02-12,2/12/21,1816.35
2021-02-15,2/15/21,1817.3
2021-02-16,2/16/21,1794.25
2021-02-17,2/17/21,1780.7
2021-02-18,2/18/21,1773.15
2021-02-19,2/19/21,1786.2
2021-02-22,2/22/21,1807.45
2021-02-23,2/23/21,1799.65
2021-02-24,2/24/21,1788.0
2021-02-25,2/25/21,1779.65
2021-02-26,2/26/21,1742.85
2021-03-01,3/1/21,1734.15
2021-03-02,3/2/21,1723.85
2021-03-03,3/3/21,1711.4
2021-03-04,3/4/21,1712.1
2021-03-05,3/5/21,1696.25
2021-03-08,3/8/21,1687.05
2021-03-09,3/9/21,1716.9
2021-03-10,3/10/21,1716.2
2021-03-11,3/11/21,1724.25
2021-03-12,3/12/21,1704.8
2021-03-15,3/15/21,1723.65
2021-03-16,3/16/21,1735.0
2021-03-17,3/17/21,1729.65
2021-03-18,3/18/21,1725.9
2021-03-19,3/19/21,1735.2
2021-03-22,3/22/21,1736.15
2021-03-23,3/23/21,1726.2
2021-03-24,3/24/21,1730.5
2021-03-25,3/25/21,1737.3
2021-03-26,3/26/21,1731.8
2021-03-29,3/29/21,1705.95
2021-03-30,3/30/21,1683.95
2021-03-31,3/31/21,1691.05
2021-04-01,4/1/21,1726.05
2021-04-06,4/6/21,1744.65
2021-04-07,4/7/21,1738.05
2021-04-08,4/8/21,1755.5
2021-04-09,4/9/21,1741.2
2021-04-12,4/12/21,1732.85
2021-04-13,4/13/21,1747.95
2021-04-14,4/14/21,1735.55
2021-04-15,4/15/21,1757.2
2021-04-16,4/16/21,1774.45
2021-04-19,4/19/21,1774.5
2021-04-20,4/20/21,1777.85
2021-04-21,4/21/21,1798.2
2021-04-22,4/22/21,1787.75
2021-04-23,4/23/21,1781.8
2021-04-26,4/26/21,1773.35
2021-04-27,4/27/21,1784.15
2021-04-28,4/28/21,1772.2
2021-04-29,4/29/21,1762.65
2021-04-30,4/30/21,1767.65
2021-05-04,5/4/21,1797.75
2021-05-05,5/5/21,1782.25
2021-05-06,5/6/21,1813.15
2021-05-07,5/7/21,1836.55
2021-05-10,5/10/21,1840.45
2021-05-11,5/11/21,1829.1
2021-05-12,5/12/21,1830.7
2021-05-13,5/13/21,1821.8
2021-05-14,5/14/21,1838.1
2021-05-17,5/17/21,1853.7
2021-05-18,5/18/21,1866.75
2021-05-19,5/19/21,1888.45
2021-05-20,5/20/21,1878.3
2021-05-21,5/21/21,1875.9
2021-05-24,5/24/21,1880.15
2021-05-25,5/25/21,1887.0
2021-05-26,5/26/21,1899.75
2021-05-27,5/27/21,1891.45
2021-05-28,5/28/21,1899.95
2021-06-01,6/1/21,1899.35
2021-06-02,6/2/21,1902.75
2021-06-03,6/3/21,1866.55
2021-06-04,6/4/21,1890.6
2021-06-07,6/7/21,1888.4
2021-06-08,6/8/21,1893.15
2021-06-09,6/9/21,1894.6
2021-06-10,6/10/21,1888.65
2021-06-11,6/11/21,1881.05
2021-06-14,6/14/21,1865.6
2021-06-15,6/15/21,1865.1
2021-06-16,6/16/21,1860.75
2021-06-17,6/17/21,1778.7
2021-06-18,6/18/21,1773.1
2021-06-21,6/21/21,1775.05
2021-06-22,6/22/21,1775.05
2021-06-23,6/23/21,1791.6
2021-06-24,6/24/21,1784.85
2021-06-25,6/25/21,1786.65
2021-06-28,6/28/21,1780.3
2021-06-29,6/29/21,1755.45
2021-06-30,6/30/21,1763.15
2021-07-01,7/1/21,1781.5
2021-07-02,7/2/21,1786.15
2021-07-05,7/5/21,1791.35
2021-07-06,7/6/21,1809.85
2021-07-07,7/7/21,1804.65
2021-07-08,7/8/21,1807.7
2021-07-09,7/9/21,1806.0
2021-07-12,7/12/21,1792.4
2021-07-13,7/13/21,1813.85
2021-07-14,7/14/21,1823.2
2021-07-15,7/15/21,1823.75
2021-07-16,7/16/21,1824.3
2021-07-19,7/19/21,1814.9
2021-07-20,7/20/21,1823.05
2021-07-21,7/21/21,1802.15
2021-07-22,7/22/21,1799.45
2021-07-23,7/23/21,1799.6
2021-07-26,7/26/21,1800.2
2021-07-27,7/27/21,1800.35
2021-07-28,7/28/21,1796.6
2021-07-29,7/29/21,1829.3
2021-07-30,7/30/21,1825.75
2021-08-02,8/2/21,1811.45
2021-08-03,8/3/21,1812.65
2021-08-04,8/4/21,1829.1
2021-08-05,8/5/21,1800.75
2021-08-06,8/6/21,1762.9
2021-08-09,8/9/21,1738.85
2021-08-10,8/10/21,1723.35
2021-08-11,8/11/21,1743.6
2021-08-12,8/12/21,1747.4
2021-08-13,8/13/21,1773.85
2021-08-16,8/16/21,1786.35
2021-08-17,8/17/21,1789.45
2021-08-18,8/18/21,1783.45
2021-08-19,8/19/21,1782.05
2021-08-20,8/20/21,1779.05
2021-08-23,8/23/21,1802.0
2021-08-24,8/24/21,1808.45
2021-08-25,8/25/21,1788.7
2021-08-26,8/26/21,1786.6
2021-08-27,8/27/21,1798.5
2021-08-31,8/31/21,1814.85
2021-09-01,9/1/21,1811.8
2021-09-02,9/2/21,1812.55
2021-09-03,9/3/21,1823.7
2021-09-06,9/6/21,1821.6
2021-09-07,9/7/21,1802.15
2021-09-08,9/8/21,1786.0
2021-09-09,9/9/21,1788.25
2021-09-10,9/10/21,1794.6
