,Date,Value
2018-10-16,10/16/18,6599.17
2018-10-17,10/17/18,6596.276154
2018-10-18,10/18/18,6568.040769
2018-10-19,10/19/18,6509.61
2018-10-20,10/20/18,6488.825833
2018-10-21,10/21/18,6531.601667
2018-10-22,10/22/18,6504.78
2018-10-23,10/23/18,6481.426
2018-10-24,10/24/18,6508.31
2018-10-25,10/25/18,6489.77
2018-10-26,10/26/18,6473.753333
2018-10-27,10/27/18,6465.9175
2018-10-28,10/28/18,6457.21
2018-10-29,10/29/18,6382.668333
2018-10-30,10/30/18,6309.452857
2018-10-31,10/31/18,6301.61
2018-11-01,11/1/18,6342.280833
2018-11-02,11/2/18,6387.674167
2018-11-03,11/3/18,6390.42
2018-11-04,11/4/18,6391.873333
2018-11-05,11/5/18,6436.965
2018-11-06,11/6/18,6437.76
2018-11-07,11/7/18,6538.79
2018-11-08,11/8/18,6486.251667
2018-11-09,11/9/18,6444.97
2018-11-10,11/10/18,6399.033333
2018-11-11,11/11/18,6378.268333
2018-11-12,11/12/18,6408.53
2018-11-13,11/13/18,6372.063333
2018-11-14,11/14/18,6176.155
2018-11-15,11/15/18,5756.77
2018-11-16,11/16/18,5596.1925
2018-11-17,11/17/18,5558.243333
2018-11-18,11/18/18,5572.44
2018-11-19,11/19/18,5303.9425
2018-11-20,11/20/18,4671.97
2018-11-21,11/21/18,4491.98
2018-11-22,11/22/18,4548.7975
2018-11-23,11/23/18,4309.3375
2018-11-24,11/24/18,4352.98
2018-11-25,11/25/18,3823.511667
2018-11-26,11/26/18,3920.536667
2018-11-27,11/27/18,3793.35
2018-11-28,11/28/18,4103.453846
2018-11-29,11/29/18,4263.783333
2018-11-30,11/30/18,4278.77
2018-12-01,12/1/18,4116.7775
2018-12-02,12/2/18,4167.546667
2018-12-03,12/3/18,4140.6
2018-12-04,12/4/18,3961.493333
2018-12-05,12/5/18,3858.349167
2018-12-06,12/6/18,3744.98
2018-12-07,12/7/18,3405.643333
2018-12-08,12/8/18,3435.34
2018-12-09,12/9/18,3453.66
2018-12-10,12/10/18,3523.96
2018-12-11,12/11/18,3426.19
2018-12-12,12/12/18,3407.28
2018-12-13,12/13/18,3406.7625
2018-12-14,12/14/18,3278.374167
2018-12-15,12/15/18,3242.42
2018-12-16,12/16/18,3271.238333
2018-12-17,12/17/18,3392.405
2018-12-18,12/18/18,3556.54
2018-12-19,12/19/18,3808.0425
2018-12-20,12/20/18,3982.850833
2018-12-21,12/21/18,4135.19
2018-12-22,12/22/18,3910.973333
2018-12-23,12/23/18,4027.478333
2018-12-24,12/24/18,3995.17
2018-12-25,12/25/18,3813.88
2018-12-26,12/26/18,3825.379167
2018-12-27,12/27/18,3848.21
2018-12-28,12/28/18,3743.905
2018-12-29,12/29/18,3912.285833
2018-12-30,12/30/18,3770.36
2018-12-31,12/31/18,3791.545833
2019-01-01,1/1/19,3752.271667
2019-01-02,1/2/19,3855.88
2019-01-03,1/3/19,3865.7975
2019-01-04,1/4/19,3822.626667
2019-01-05,1/5/19,3856.62
2019-01-06,1/6/19,3920.456667
2019-01-07,1/7/19,4036.093333
2019-01-08,1/8/19,4032.25
2019-01-09,1/9/19,4034.138333
2019-01-10,1/10/19,3812.585833
2019-01-11,1/11/19,3646.25
2019-01-12,1/12/19,3646.345833
2019-01-13,1/13/19,3599.841667
2019-01-14,1/14/19,3531.96
2019-01-15,1/15/19,3656.785
2019-01-16,1/16/19,3621.270833
2019-01-17,1/17/19,3621.43
2019-01-18,1/18/19,3632.395
2019-01-19,1/19/19,3690.523333
2019-01-20,1/20/19,3703.98
2019-01-21,1/21/19,3548.4275
2019-01-22,1/22/19,3540.02
2019-01-23,1/23/19,3587.35
2019-01-24,1/24/19,3566.4
2019-01-25,1/25/19,3586.25
2019-01-26,1/26/19,3577.79
2019-01-27,1/27/19,3576.3
2019-01-28,1/28/19,3554.5
2019-01-29,1/29/19,3448.58
2019-01-30,1/30/19,3421.6
2019-01-31,1/31/19,3470.0
2019-02-01,2/1/19,3444.81
2019-02-02,2/2/19,3475.33
2019-02-03,2/3/19,3506.22
2019-02-04,2/4/19,3456.02
2019-02-05,2/5/19,3452.35
2019-02-06,2/6/19,3467.34
2019-02-07,2/7/19,3405.7
2019-02-08,2/8/19,3394.76
2019-02-09,2/9/19,3661.08
2019-02-10,2/10/19,3664.38
2019-02-11,2/11/19,3686.29
2019-02-12,2/12/19,3629.47
2019-02-13,2/13/19,3632.42
2019-02-14,2/14/19,3614.5
2019-02-15,2/15/19,3600.31
2019-02-16,2/16/19,3608.2
2019-02-17,2/17/19,3619.55
2019-02-18,2/18/19,3670.74
2019-02-19,2/19/19,3910.8
2019-02-20,2/20/19,3926.53
2019-02-21,2/21/19,3987.18
2019-02-22,2/22/19,3944.88
2019-02-23,2/23/19,3983.48
2019-02-24,2/24/19,4139.6
2019-02-25,2/25/19,3766.89
2019-02-26,2/26/19,3848.33
2019-02-27,2/27/19,3831.45
2019-02-28,2/28/19,3833.23
2019-03-01,3/1/19,3850.08
2019-03-02,3/2/19,3834.62
2019-03-03,3/3/19,3831.44
2019-03-04,3/4/19,3814.58
2019-03-05,3/5/19,3730.98
2019-03-06,3/6/19,3872.25
2019-03-07,3/7/19,3876.85
2019-03-08,3/8/19,3886.82
2019-03-09,3/9/19,3875.96
2019-03-10,3/10/19,3950.56
2019-03-11,3/11/19,3928.17
2019-03-12,3/12/19,3881.09
2019-03-13,3/13/19,3892.51
2019-03-14,3/14/19,3877.77
2019-03-15,3/15/19,3885.21
2019-03-16,3/16/19,3936.5
2019-03-17,3/17/19,4015.95
2019-03-18,3/18/19,3994.92
2019-03-19,3/19/19,3998.77
2019-03-20,3/20/19,4029.11
2019-03-21,3/21/19,4056.4
2019-03-22,3/22/19,3992.34
2019-03-23,3/23/19,3999.06
2019-03-24,3/24/19,4011.92
2019-03-25,3/25/19,3994.11
2019-03-26,3/26/19,3935.89
2019-03-27,3/27/19,3947.74
2019-03-28,3/28/19,4048.51
2019-03-29,3/29/19,4037.37
2019-03-30,3/30/19,4115.55
2019-03-31,3/31/19,4114.44
2019-04-01,4/1/19,4114.16
2019-04-02,4/2/19,4152.53
2019-04-03,4/3/19,4882.88
2019-04-04,4/4/19,4959.81
2019-04-05,4/5/19,4911.24
2019-04-06,4/6/19,5028.77
2019-04-07,4/7/19,5053.52
2019-04-08,4/8/19,5189.39
2019-04-09,4/9/19,5268.71
2019-04-10,4/10/19,5175.81
2019-04-11,4/11/19,5310.18
2019-04-12,4/12/19,5035.02
2019-04-13,4/13/19,5072.85
2019-04-14,4/14/19,5064.62
2019-04-15,4/15/19,5152.51
2019-04-16,4/16/19,5036.18
2019-04-17,4/17/19,5196.65
2019-04-18,4/18/19,5220.37
2019-04-19,4/19/19,5276.31
2019-04-20,4/20/19,5277.04
2019-04-21,4/21/19,5309.28
2019-04-22,4/22/19,5281.83
2019-04-23,4/23/19,5377.19
2019-04-24,4/24/19,5518.16
2019-04-25,4/25/19,5434.19
2019-04-26,4/26/19,5195.61
2019-04-27,4/27/19,5292.83
2019-04-28,4/28/19,5280.19
2019-04-29,4/29/19,5301.29
2019-04-30,4/30/19,5260.65
2019-05-01,5/1/19,5269.79
2019-05-02,5/2/19,5326.67
2019-05-03,5/3/19,5390.16
2019-05-04,5/4/19,5657.14
2019-05-05,5/5/19,5771.08
2019-05-06,5/6/19,5717.66
2019-05-07,5/7/19,5684.47
2019-05-08,5/8/19,5755.72
2019-05-09,5/9/19,5936.72
2019-05-10,5/10/19,6146.91
2019-05-11,5/11/19,6348.02
2019-05-12,5/12/19,7248.31
2019-05-13,5/13/19,6978.63
2019-05-14,5/14/19,7823.11
2019-05-15,5/15/19,7992.69
2019-05-16,5/16/19,8206.9
2019-05-17,5/17/19,7885.96
2019-05-18,5/18/19,7362.22
2019-05-19,5/19/19,7265.05
2019-05-20,5/20/19,8193.7
2019-05-21,5/21/19,8007.03
2019-05-22,5/22/19,7952.5
2019-05-23,5/23/19,7625.93
2019-05-24,5/24/19,7880.29
2019-05-25,5/25/19,8003.26
2019-05-26,5/26/19,8071.45
2019-05-27,5/27/19,8744.42
2019-05-28,5/28/19,8770.06
2019-05-29,5/29/19,8719.88
2019-05-30,5/30/19,8662.98
2019-05-31,5/31/19,8272.46
2019-06-01,6/1/19,8553.81
2019-06-02,6/2/19,8554.8
2019-06-03,6/3/19,8739.03
2019-06-04,6/4/19,8134.92
2019-06-05,6/5/19,7675.8
2019-06-06,6/6/19,7786.04
2019-06-07,6/7/19,7803.23
2019-06-08,6/8/19,7998.29
2019-06-09,6/9/19,7931.34
2019-06-10,6/10/19,7640.61
2019-06-11,6/11/19,8020.38
2019-06-12,6/12/19,7917.58
2019-06-13,6/13/19,8173.06
2019-06-14,6/14/19,8237.88
2019-06-15,6/15/19,8693.6
2019-06-16,6/16/19,8859.47
2019-06-17,6/17/19,8978.99
2019-06-18,6/18/19,9327.48
2019-06-19,6/19/19,9076.18
2019-06-20,6/20/19,9281.7
2019-06-21,6/21/19,9531.35
2019-06-22,6/22/19,10209.38
2019-06-23,6/23/19,10668.63
2019-06-24,6/24/19,10814.48
2019-06-25,6/25/19,11017.5
2019-06-26,6/26/19,11766.4
2019-06-27,6/27/19,12932.55
2019-06-28,6/28/19,11132.85
2019-06-29,6/29/19,12374.35
2019-06-30,6/30/19,11890.38
2019-07-01,7/1/19,10737.73
2019-07-02,7/2/19,10578.72
2019-07-03,7/3/19,10805.4
2019-07-04,7/4/19,11984.76
2019-07-05,7/5/19,11160.49
2019-07-06,7/6/19,10955.16
2019-07-07,7/7/19,11232.04
2019-07-08,7/8/19,11477.01
2019-07-09,7/9/19,12313.08
2019-07-10,7/10/19,12586.78
2019-07-11,7/11/19,12099.9
2019-07-12,7/12/19,11352.87
2019-07-13,7/13/19,11803.97
2019-07-14,7/14/19,11389.1
2019-07-15,7/15/19,10186.96
2019-07-16,7/16/19,10873.5
2019-07-17,7/17/19,9397.72
2019-07-18,7/18/19,9674.28
2019-07-19,7/19/19,10638.56
2019-07-20,7/20/19,10535.75
2019-07-21,7/21/19,10764.9
2019-07-22,7/22/19,10587.41
2019-07-23,7/23/19,10323.62
2019-07-24,7/24/19,9844.3
2019-07-25,7/25/19,9772.17
2019-07-26,7/26/19,9875.17
2019-07-27,7/27/19,9848.65
2019-07-28,7/28/19,9473.99
2019-07-29,7/29/19,9530.0
2019-07-30,7/30/19,9501.33
2019-07-31,7/31/19,9589.13
2019-08-01,8/1/19,10084.7
2019-08-02,8/2/19,10407.17
2019-08-03,8/3/19,10529.55
2019-08-04,8/4/19,10814.57
2019-08-05,8/5/19,10980.23
2019-08-06,8/6/19,11787.99
2019-08-07,8/7/19,11465.67
2019-08-08,8/8/19,11960.82
2019-08-09,8/9/19,11996.41
2019-08-10,8/10/19,11856.64
2019-08-11,8/11/19,11282.22
2019-08-12,8/12/19,11566.84
2019-08-13,8/13/19,11386.26
2019-08-14,8/14/19,10858.12
2019-08-15,8/15/19,10016.96
2019-08-16,8/16/19,10302.17
2019-08-17,8/17/19,10359.44
2019-08-18,8/18/19,10214.52
2019-08-19,8/19/19,10317.6
2019-08-20,8/20/19,10917.26
2019-08-21,8/21/19,10760.56
2019-08-22,8/22/19,10129.4
2019-08-23,8/23/19,10111.98
2019-08-24,8/24/19,10405.81
2019-08-25,8/25/19,10143.8
2019-08-26,8/26/19,10135.06
2019-08-27,8/27/19,10360.28
2019-08-28,8/28/19,10171.95
2019-08-29,8/29/19,9717.82
2019-08-30,8/30/19,9484.55
2019-08-31,8/31/19,9577.99
2019-09-01,9/1/19,9600.9
2019-09-02,9/2/19,9769.79
2019-09-03,9/3/19,10386.64
2019-09-04,9/4/19,10621.29
2019-09-05,9/5/19,10584.16
2019-09-06,9/6/19,10577.8
2019-09-07,9/7/19,10317.47
2019-09-08,9/8/19,10487.21
2019-09-09,9/9/19,10406.31
2019-09-10,9/10/19,10313.66
2019-09-11,9/11/19,10101.03
2019-09-12,9/12/19,10159.32
2019-09-13,9/13/19,10420.16
2019-09-14,9/14/19,10363.9
2019-09-15,9/15/19,10361.33
2019-09-16,9/16/19,10310.43
2019-09-17,9/17/19,10265.63
2019-09-18,9/18/19,10190.36
2019-09-19,9/19/19,10157.59
2019-09-20,9/20/19,10275.88
2019-09-21,9/21/19,10173.11
2019-09-22,9/22/19,9979.49
2019-09-23,9/23/19,10033.05
2019-09-24,9/24/19,9683.38
2019-09-25,9/25/19,8553.61
2019-09-26,9/26/19,8432.23
2019-09-27,9/27/19,8055.64
2019-09-28,9/28/19,8193.9
2019-09-29,9/29/19,8225.0
2019-09-30,9/30/19,8056.74
2019-10-01,10/1/19,8307.74
2019-10-02,10/2/19,8322.92
2019-10-03,10/3/19,8382.03
2019-10-04,10/4/19,8236.17
2019-10-05,10/5/19,8155.48
2019-10-06,10/6/19,8147.69
2019-10-07,10/7/19,7869.74
2019-10-08,10/8/19,8212.02
2019-10-09,10/9/19,8190.0
2019-10-10,10/10/19,8587.92
2019-10-11,10/11/19,8586.9
2019-10-12,10/12/19,8269.73
2019-10-13,10/13/19,8308.01
2019-10-14,10/14/19,8283.76
2019-10-15,10/15/19,8353.54
2019-10-16,10/16/19,8162.16
2019-10-17,10/17/19,8002.51
2019-10-18,10/18/19,8076.78
2019-10-19,10/19/19,7954.15
2019-10-20,10/20/19,7960.04
2019-10-21,10/21/19,8231.06
2019-10-22,10/22/19,8222.52
2019-10-23,10/23/19,8026.76
2019-10-24,10/24/19,7469.56
2019-10-25,10/25/19,7431.88
2019-10-26,10/26/19,8666.79
2019-10-27,10/27/19,9259.8
2019-10-28,10/28/19,9551.54
2019-10-29,10/29/19,9218.76
2019-10-30,10/30/19,9433.35
2019-10-31,10/31/19,9164.62
2019-11-01,11/1/19,9147.98
2019-11-02,11/2/19,9252.99
2019-11-03,11/3/19,9301.18
2019-11-04,11/4/19,9206.16
2019-11-05,11/5/19,9418.05
2019-11-06,11/6/19,9310.19
2019-11-07,11/7/19,9343.34
2019-11-08,11/8/19,9204.24
2019-11-09,11/9/19,8766.04
2019-11-10,11/10/19,8809.41
2019-11-11,11/11/19,9037.12
2019-11-12,11/12/19,8717.81
2019-11-13,11/13/19,8801.52
2019-11-14,11/14/19,8762.42
2019-11-15,11/15/19,8632.32
2019-11-16,11/16/19,8457.69
2019-11-17,11/17/19,8482.7
2019-11-18,11/18/19,8503.93
2019-11-19,11/19/19,8175.99
2019-11-20,11/20/19,8120.8
2019-11-21,11/21/19,8081.81
2019-11-22,11/22/19,7617.07
2019-11-23,11/23/19,7286.35
2019-11-24,11/24/19,7324.03
2019-11-25,11/25/19,6907.4
2019-11-26,11/26/19,7130.25
2019-11-27,11/27/19,7163.63
2019-11-28,11/28/19,7523.83
2019-11-29,11/29/19,7431.0
2019-11-30,11/30/19,7757.47
2019-12-01,12/1/19,7557.72
2019-12-02,12/2/19,7402.69
2019-12-03,12/3/19,7309.59
2019-12-04,12/4/19,7296.77
2019-12-05,12/5/19,7192.85
2019-12-06,12/6/19,7395.97
2019-12-07,12/7/19,7547.19
2019-12-08,12/8/19,7504.83
2019-12-09,12/9/19,7522.39
2019-12-10,12/10/19,7337.42
2019-12-11,12/11/19,7220.76
2019-12-12,12/12/19,7202.31
2019-12-13,12/13/19,7189.16
2019-12-14,12/14/19,7251.87
2019-12-15,12/15/19,7067.74
2019-12-16,12/16/19,7111.14
2019-12-17,12/17/19,6879.54
2019-12-18,12/18/19,6612.12
2019-12-19,12/19/19,7284.29
2019-12-20,12/20/19,7150.86
2019-12-21,12/21/19,7190.17
2019-12-22,12/22/19,7143.2
2019-12-23,12/23/19,7514.41
2019-12-24,12/24/19,7322.08
2019-12-25,12/25/19,7250.69
2019-12-26,12/26/19,7192.72
2019-12-27,12/27/19,7194.4
2019-12-28,12/28/19,7243.93
2019-12-29,12/29/19,7301.07
2019-12-30,12/30/19,7385.36
2019-12-31,12/31/19,7219.6
2020-01-01,1/1/20,7168.31
2020-01-02,1/2/20,7175.68
2020-01-03,1/3/20,6944.33
2020-01-04,1/4/20,7326.35
2020-01-05,1/5/20,7347.89
2020-01-06,1/6/20,7351.57
2020-01-07,1/7/20,7759.24
2020-01-08,1/8/20,8165.47
2020-01-09,1/9/20,8042.65
2020-01-10,1/10/20,7817.92
2020-01-11,1/11/20,8184.66
2020-01-12,1/12/20,8021.49
2020-01-13,1/13/20,8173.97
2020-01-14,1/14/20,8105.24
2020-01-15,1/15/20,8842.42
2020-01-16,1/16/20,8813.89
2020-01-17,1/17/20,8722.03
2020-01-18,1/18/20,8900.34
2020-01-19,1/19/20,8910.85
2020-01-20,1/20/20,8703.36
2020-01-21,1/21/20,8626.47
2020-01-22,1/22/20,8722.26
2020-01-23,1/23/20,8658.94
2020-01-24,1/24/20,8388.11
2020-01-25,1/25/20,8428.17
2020-01-26,1/26/20,8327.36
2020-01-27,1/27/20,8588.42
2020-01-28,1/28/20,8895.78
2020-01-29,1/29/20,9385.69
2020-01-30,1/30/20,9279.81
2020-01-31,1/31/20,9502.37
2020-02-01,2/1/20,9333.77
2020-02-02,2/2/20,9378.09
2020-02-03,2/3/20,9314.56
2020-02-04,2/4/20,9162.14
2020-02-05,2/5/20,9162.14
2020-02-06,2/6/20,9614.9
2020-02-07,2/7/20,9755.66
2020-02-08,2/8/20,9807.54
2020-02-09,2/9/20,9907.12
2020-02-10,2/10/20,10162.41
2020-02-11,2/11/20,9854.79
2020-02-12,2/12/20,10275.38
2020-02-13,2/13/20,10354.3
2020-02-14,2/14/20,10242.43
2020-02-15,2/15/20,10368.53
2020-02-16,2/16/20,9904.17
2020-02-17,2/17/20,9937.67
2020-02-18,2/18/20,9703.93
2020-02-19,2/19/20,10180.65
2020-02-20,2/20/20,9604.72
2020-02-21,2/21/20,9606.86
2020-02-22,2/22/20,9696.58
2020-02-23,2/23/20,9669.63
2020-02-24,2/24/20,9989.39
2020-02-25,2/25/20,9663.75
2020-02-26,2/26/20,9309.15
2020-02-27,2/27/20,8785.52
2020-02-28,2/28/20,8804.72
2020-02-29,2/29/20,8712.35
2020-03-01,3/1/20,8534.17
2020-03-02,3/2/20,8912.82
2020-03-03,3/3/20,8912.82
2020-03-04,3/4/20,8754.34
2020-03-05,3/5/20,8758.9
2020-03-06,3/6/20,9067.39
2020-03-07,3/7/20,9155.89
2020-03-08,3/8/20,8898.63
2020-03-09,3/9/20,8039.38
2020-03-10,3/10/20,7931.94
2020-03-11,3/11/20,7885.46
2020-03-12,3/12/20,7936.65
2020-03-13,3/13/20,4830.21
2020-03-14,3/14/20,5609.03
2020-03-15,3/15/20,5166.26
2020-03-16,3/16/20,5348.44
2020-03-17,3/17/20,5026.35
2020-03-18,3/18/20,5357.61
2020-03-19,3/19/20,5410.23
2020-03-20,3/20/20,6195.2
2020-03-21,3/21/20,6226.44
2020-03-22,3/22/20,6189.85
2020-03-23,3/23/20,5822.62
2020-03-24,3/24/20,6502.16
2020-03-25,3/25/20,6768.49
2020-03-26,3/26/20,6698.46
2020-03-27,3/27/20,6763.75
2020-03-28,3/28/20,6369.09
2020-03-29,3/29/20,6260.95
2020-03-30,3/30/20,5885.41
2020-03-31,3/31/20,6405.29
2020-04-01,4/1/20,6428.28
2020-04-02,4/2/20,6652.87
2020-04-03,4/3/20,6809.11
2020-04-04,4/4/20,6741.67
2020-04-05,4/5/20,6871.69
2020-04-06,4/6/20,6777.44
2020-04-07,4/7/20,7343.2
2020-04-08,4/8/20,7205.55
2020-04-09,4/9/20,7365.03
2020-04-10,4/10/20,7293.69
2020-04-11,4/11/20,6873.24
2020-04-12,4/12/20,6891.6
2020-04-13,4/13/20,6915.37
2020-04-14,4/14/20,6857.66
2020-04-15,4/15/20,6871.95
2020-04-16,4/16/20,6623.8
2020-04-17,4/17/20,7112.27
2020-04-18,4/18/20,7034.89
2020-04-19,4/19/20,7259.36
2020-04-20,4/20/20,7130.04
2020-04-21,4/21/20,6840.24
2020-04-22,4/22/20,6852.52
2020-04-23,4/23/20,7130.99
2020-04-24,4/24/20,7477.6
2020-04-25,4/25/20,7507.08
2020-04-26,4/26/20,7549.52
2020-04-27,4/27/20,7699.27
2020-04-28,4/28/20,7790.66
2020-04-29,4/29/20,7765.33
2020-04-30,4/30/20,8777.63
2020-05-01,5/1/20,8628.77
2020-05-02,5/2/20,8824.66
2020-05-03,5/3/20,8973.82
2020-05-04,5/4/20,8903.95
2020-05-05,5/5/20,8885.93
2020-05-06,5/6/20,9030.96
2020-05-07,5/7/20,9170.79
2020-05-08,5/8/20,10002.48
2020-05-09,5/9/20,9821.8
2020-05-10,5/10/20,9527.39
2020-05-11,5/11/20,8754.46
2020-05-12,5/12/20,8617.25
2020-05-13,5/13/20,8814.53
2020-05-14,5/14/20,9305.93
2020-05-15,5/15/20,9790.31
2020-05-16,5/16/20,9303.59
2020-05-17,5/17/20,9385.7
2020-05-18,5/18/20,9669.4
2020-05-19,5/19/20,9719.37
2020-05-20,5/20/20,9785.74
2020-05-21,5/21/20,9510.67
2020-05-22,5/22/20,9057.57
2020-05-23,5/23/20,9167.26
2020-05-24,5/24/20,9178.32
2020-05-25,5/25/20,8730.73
2020-05-26,5/26/20,8899.66
2020-05-27,5/27/20,8842.85
2020-05-28,5/28/20,9197.54
2020-05-29,5/29/20,9569.21
2020-05-30,5/30/20,9425.98
2020-05-31,5/31/20,9698.1
2020-06-01,6/1/20,9450.84
2020-06-02,6/2/20,10204.23
2020-06-03,6/3/20,9525.57
2020-06-04,6/4/20,9658.04
2020-06-05,6/5/20,9794.56
2020-06-06,6/6/20,9623.75
2020-06-07,6/7/20,9670.43
2020-06-08,6/8/20,9753.85
2020-06-09,6/9/20,9782.59
2020-06-10,6/10/20,9775.15
2020-06-11,6/11/20,9892.13
2020-06-12,6/12/20,9286.42
2020-06-13,6/13/20,9459.97
2020-06-14,6/14/20,9473.5
2020-06-15,6/15/20,9330.07
2020-06-16,6/16/20,9426.7
2020-06-17,6/17/20,9526.0
2020-06-18,6/18/20,9454.81
2020-06-19,6/19/20,9380.03
2020-06-20,6/20/20,9300.15
2020-06-21,6/21/20,9357.43
2020-06-22,6/22/20,9284.78
2020-06-23,6/23/20,9691.9
2020-06-24,6/24/20,9621.49
2020-06-25,6/25/20,9276.58
2020-06-26,6/26/20,9240.85
2020-06-27,6/27/20,9154.45
2020-06-28,6/28/20,9004.23
2020-06-29,6/29/20,9127.47
2020-06-30,6/30/20,9185.35
2020-07-01,7/1/20,9133.97
2020-07-02,7/2/20,9236.38
2020-07-03,7/3/20,9087.98
2020-07-04,7/4/20,9072.42
2020-07-05,7/5/20,9131.31
2020-07-06,7/6/20,9089.09
2020-07-07,7/7/20,9348.91
2020-07-08,7/8/20,9256.23
2020-07-09,7/9/20,9440.07
2020-07-10,7/10/20,9238.04
2020-07-11,7/11/20,9287.4
2020-07-12,7/12/20,9235.96
2020-07-13,7/13/20,9295.9
2020-07-14,7/14/20,9238.13
2020-07-15,7/15/20,9254.52
2020-07-16,7/16/20,9193.51
2020-07-17,7/17/20,9131.0
2020-07-18,7/18/20,9154.19
2020-07-19,7/19/20,9174.71
2020-07-20,7/20/20,9214.66
2020-07-21,7/21/20,9163.87
2020-07-22,7/22/20,9392.66
2020-07-23,7/23/20,9537.4
2020-07-24,7/24/20,9613.11
2020-07-25,7/25/20,9551.28
2020-07-26,7/26/20,9707.5
2020-07-27,7/27/20,9938.83
2020-07-28,7/28/20,11042.4
2020-07-29,7/29/20,10934.94
2020-07-30,7/30/20,11102.67
2020-07-31,7/31/20,11114.93
2020-08-01,8/1/20,11343.88
2020-08-02,8/2/20,11823.69
2020-08-03,8/3/20,11077.77
2020-08-04,8/4/20,11242.57
2020-08-05,8/5/20,11194.25
2020-08-06,8/6/20,11750.28
2020-08-07,8/7/20,11772.94
2020-08-08,8/8/20,11605.6
2020-08-09,8/9/20,11767.6
2020-08-10,8/10/20,11684.06
2020-08-11,8/11/20,11893.03
2020-08-12,8/12/20,11392.43
2020-08-13,8/13/20,11573.11
2020-08-14,8/14/20,11777.43
2020-08-15,8/15/20,11774.38
2020-08-16,8/16/20,11873.98
2020-08-17,8/17/20,11914.01
2020-08-18,8/18/20,12293.72
2020-08-19,8/19/20,11969.53
2020-08-20,8/20/20,11734.0
2020-08-21,8/21/20,11865.82
2020-08-22,8/22/20,11522.8
2020-08-23,8/23/20,11683.44
2020-08-24,8/24/20,11653.02
2020-08-25,8/25/20,11763.93
2020-08-26,8/26/20,11337.4
2020-08-27,8/27/20,11467.37
2020-08-28,8/28/20,11302.01
2020-08-29,8/29/20,11534.75
2020-08-30,8/30/20,11481.64
2020-08-31,8/31/20,11707.78
2020-09-01,9/1/20,11659.57
2020-09-02,9/2/20,11923.25
2020-09-03,9/3/20,11397.44
2020-09-04,9/4/20,10187.51
2020-09-05,9/5/20,10467.89
2020-09-06,9/6/20,10159.62
2020-09-07,9/7/20,10254.93
2020-09-08,9/8/20,10367.74
2020-09-09,9/9/20,10121.52
2020-09-10,9/10/20,10227.83
2020-09-11,9/11/20,10352.66
2020-09-12,9/12/20,10395.44
2020-09-13,9/13/20,10446.44
2020-09-14,9/14/20,10330.77
2020-09-15,9/15/20,10674.64
2020-09-16,9/16/20,10785.62
2020-09-17,9/17/20,10948.43
2020-09-18,9/18/20,10943.89
2020-09-19,9/19/20,10931.79
2020-09-20,9/20/20,11081.43
2020-09-21,9/21/20,10919.65
2020-09-22,9/22/20,10430.46
2020-09-23,9/23/20,10532.22
2020-09-24,9/24/20,10234.48
2020-09-25,9/25/20,10732.43
2020-09-26,9/26/20,10692.84
2020-09-27,9/27/20,10732.4
2020-09-28,9/28/20,10774.24
2020-09-29,9/29/20,10692.33
2020-09-30,9/30/20,10840.8
2020-10-01,10/1/20,10777.92
2020-10-02,10/2/20,10619.24
2020-10-03,10/3/20,10575.06
2020-10-04,10/4/20,10551.77
2020-10-05,10/5/20,10673.46
2020-10-06,10/6/20,10788.56
2020-10-07,10/7/20,10603.74
2020-10-08,10/8/20,10670.8
2020-10-09,10/9/20,10923.3
2020-10-10,10/10/20,11063.19
2020-10-11,10/11/20,11302.67
2020-10-12,10/12/20,11376.61
2020-10-13,10/13/20,11540.04
2020-10-14,10/14/20,11428.24
2020-10-15,10/15/20,11431.32
2020-10-16,10/16/20,11503.73
2020-10-17,10/17/20,11327.57
2020-10-18,10/18/20,11366.51
2020-10-19,10/19/20,11508.2
2020-10-20,10/20/20,11758.16
2020-10-21,10/21/20,11925.46
2020-10-22,10/22/20,12831.56
2020-10-23,10/23/20,12990.25
2020-10-24,10/24/20,12944.52
2020-10-25,10/25/20,13128.46
2020-10-26,10/26/20,13036.77
2020-10-27,10/27/20,13076.37
2020-10-28,10/28/20,13651.47
2020-10-29,10/29/20,13289.0
2020-10-30,10/30/20,13458.66
2020-10-31,10/31/20,13564.72
2020-11-01,11/1/20,13810.32
2020-11-02,11/2/20,13758.88
2020-11-03,11/3/20,13575.17
2020-11-04,11/4/20,14023.31
2020-11-05,11/5/20,14155.59
2020-11-06,11/6/20,15591.39
2020-11-07,11/7/20,15595.77
2020-11-08,11/8/20,14839.84
2020-11-09,11/9/20,15490.6
2020-11-10,11/10/20,15328.53
2020-11-11,11/11/20,15317.04
2020-11-12,11/12/20,15708.65
2020-11-13,11/13/20,16295.57
2020-11-14,11/14/20,16339.33
2020-11-15,11/15/20,16091.07
2020-11-16,11/16/20,15968.16
2020-11-17,11/17/20,16725.15
2020-11-18,11/18/20,17679.72
2020-11-19,11/19/20,17798.45
2020-11-20,11/20/20,17820.57
2020-11-21,11/21/20,18687.45
2020-11-22,11/22/20,18699.75
2020-11-23,11/23/20,18422.28
2020-11-24,11/24/20,18398.91
2020-11-25,11/25/20,19172.52
2020-11-26,11/26/20,18739.8
2020-11-27,11/27/20,17151.44
